"keys","zh","en"
"content_0db6567e6fa44e34b34a6a560eef4877","...好....痛！！","Test for fun"
"actor_name_973a7afc8cfa4407877a2b009026099d","沈启",""
"content_7f35d1c637b94347a3fb60c4c88b9bd1","刚才....发生了什么事情！？","Test for fun"
"actor_name_b33888a32450404f9ae6619696aac908","拉伊莎",""
"content_380041cae75a4c0280154492d51cf400","我是另外一个人",""
"content_e97f16ccbb1f4752b1dfb7911e6d9093","用来测试的",""
"content_fb8f4b7b102d4a7e84d6a25e74ae6be5","看这环境，我是在外面吗？","Test for fun"
"content_e211f4d9906541c5b8837f3951e16542","好冷！！","Test for fun"
"content_2b1f4b937b5b45408f55bcd3cbc8a107","总之...先过去看看附近的人的情况！","Test for fun"
"content_e07a87e36f874d9f8e7291d6bd118a23","我记得好像刚才被甩出飞机了....","Test for fun"
"content_73cf63d264464e339521d095684b6503","好像附近还有同样被甩出来的人..","Test for fun"
"content_4fbb20e6db314e5988e36fb19c2a22f9","醒一醒！！你还好吗！",""
"content_606a5d3009924ae8ace888231001c15a","唔....",""
"content_0f97a314104d4621bcdd9af10a01d06e","这是...在哪里..",""
"content_6b583b8132a348f9ba6894b837c4eca7","好冷！！！",""
"content_58a3f59956424164bb2cf97445a52599","刚才发生了什么事情！？",""
"content_4837281249f045ac97193209668e8921","你还记得我们刚才被甩出飞机了吗？",""
"content_fe537b93d92c4af2b8fbc2f6c96f7d40","对了！飞机上的其他人呢！？",""
"content_0f85407b864a4c219c799f59275772df","不知道，那边好像还有一个人，我要过去看下。",""
"content_ff6e1348e3cb46fbbc8fe67c1a7a25cb","唔！！我的腿好痛！",""
"content_303311d965be4bc1a795aabd4323b2a7","你先过去看下吧，我的腿好像受伤了。",""
"content_8be20d0bca2847e5a4dd6e986d9ebe0d","嗯，你先待在这里不要动！",""
"content_66c385a5e45e438e8bc8ebd8319583f8","你先过去看看那个人的情况吧，我在这里等你。",""
"actor_name_244079313ea94605985a61f5f18b331c","乔伊",""
"actor_name_72180909255845a394782022d8257c2c","Actor 5",""
"content_87a120f6f22b48b08ed9055e3f2d686d","小孩子！？醒醒！！你还好吗！？",""
"content_0e4efbb6799e4270a7d8d91ea7892753","....",""
"content_a3cf8906721740098ae7320a2221cfc5","....",""
"content_77bd7177e86b4f1ea75f607d39031ed0","好像是昏迷了，但是幸好还有呼吸。",""
"content_dfbaf2b7fb4045c08c445af4cf53fc37","必须赶快找个安全的地方先避雪，先回到刚才那个人那里商量下吧。",""
"content_492a366a3a754f108d29d4dddd2d5093","好像是昏迷了，但是幸好还有呼吸。",""
"content_595d04391bfa4b02b1513880f72919a9","那边还有人，先过去看看吧！",""
"content_a73b647d6e1b440d96c679a09784fd39","那边有个小孩子，好像是昏迷了，不过幸好没有受伤。",""
"content_4573aa7c0f0545d5805437bce1555f16","小孩子？那我们要快点找一个可以避雪的地方，在这暴风雪中一个小孩子很快就会撑不下去。",""
"content_9cd3b87dfe924bca9a5e7ec28de03b2a","是的，这大雪的完全遮住了视线，想找到一个像样的庇护所可不容易。",""
"content_cb4656106ddc4f2ca60e610118a2fe03","我好像看到西北方向有什么东西，感觉你可以过去看下！",""
"content_724a103162b244a090bd7c53f251506c","我好像看到东北方向有什么东西，感觉你可以过去看下！",""
"content_fc3f80a4ee5a4d4fbe9b9829f90ca52d","那边有个小孩子，好像是昏迷了，不过幸好没有受伤。",""
"content_3b6f2e02ae2e43518aa701c389f6c6b7","你先过去看看那个人的情况吧，我在这里等你。",""
"content_6026895951f24ef587b0c1c0a824202d","那边有个小孩子，好像是昏迷了，不过幸好没有受伤。",""
"content_913fe7b5684046318ff5b4f49146066c","小孩子？那我们要快点找一个可以避雪的地方，在这暴风雪中一个小孩子很快就会撑不下去。",""
"content_06eeb0888a1c44f58f1f43b8d430bec1","的确，不过这大雪的完全遮住了视线，想找到一个庇护所可不容易。",""
"content_6008ba0228ce4a19ab0d6ee694fbd7a6","我好像看到西北方向有什么东西！",""
"content_94c3cd6a32a443a196009dc55e86b888","我好像看到西北方向有什么东西，感觉你可以过去看下！",""
"content_d65d3047e4fb4399b232087d7a8a6b5a","你过去看下吧，我暂时先留在这里。",""
"content_7f01c5e7bf544d78a0312df0b717ff20","嗯，你先待在这里不要动！",""
"actor_name_3048a128f2c843129e4f76202985f269"," 正下方",""
"content_3ba5f00570fe4c0182e2c835f91da0bc","太好了！这里竟然有一间小屋，赶快把人带过来吧！",""
"content_e04747115c30403f84c9b0147d05a703","小孩的情况怎么样？",""
"content_5c9b0c1152a3440f917aeebffddfdd38","可惜的是火炉里面没有柴火...",""
"content_76f800f0473c46a8802e57934c65bb2e","不过没有燃料火炉也无法点起来，帮忙找下附近能不能找到一些柴火？这个小孩我先看着。",""
"content_a45c64b0096046b1beb4bfe881fc7a13","你先找下这里有没有柴火吧，由我照顾小孩。",""
"content_7c3b2467299241318ec7b1070270ad72","有火炉是很不错，不过如果没柴火也只是摆设而已。",""
"content_105cee1c74614a76adfbada96f79d082","虽然可以把桌子作为柴火...",""
"content_498a6bf8c86a41cd8926f3500c3d75e4","不过在此之前先再找找，也许有现成的柴火呢？",""
"content_2d8536f9a1cb45d1af1f185acdcd4c52","外面太冷了，我可不想去外面收集柴火...",""
"content_c1569715e978401cb4e9bdff2f74f792","与其盯着火炉看，不如去找下有没有柴火。",""
"content_c4ee4976764443e4bc555e81f44881ba","这个是....书柜？之后再看看有什么吧。",""
"content_76c19858e65a452aa8c00b6fbcbe6070","这里还有地下室吗，也许地下室会有什么东西，下去看看吧。",""
"content_2ab164155b204a7b97d0243e2d81e647","外面雪真大...幸好我们有这个小屋能够避难。",""
"content_7c3b88a7471c401cbad4ceb83517bfb2","幸好我们找到了这个小屋！虽然还是很冷，至少不用担心立刻被冻死了。",""
"content_6a90c56f49334c1aaa828521437f07ec","小孩的情况怎么样？",""
"content_c1cad727d05b4ddf9b14a77581f7d7ee","他的手脚很冰冷，得赶快生活给他取暖！",""
"content_99dd7b8eb6554356b330039aa6777e24","这里有火炉，应该可以用来生火。",""
"content_cb8f35f1357847a29ab62db40ec09441","帮忙找下附近，看看能不能找到一些柴火？这个小孩我先看着。",""
"content_3ae80737d5af4e54b12bf6c89407de7c","外面雪真大...幸好我们有这个小屋能够避难。",""
"content_b393ff92791449758c6a1a17e27c54e5","箱子里面有什么？找柴火要紧，之后再看里面有什么吧。",""
"content_15063b970b37464e9c0e159558665d32","找到柴火了！这下子就可以点燃火炉了！",""
"content_73a9ba366ba74e85a323ccf542bdc60e","食物！！而且看上去分量还不算少！之后再清点吧。",""
"content_a24cdb65c2ba428ea1ea28e317f18ee0","醒了吗？身体感觉怎么样？",""
"content_38d58cf643464413866977333870ec16",".....",""
"content_a83ee6bc48d6469bb0f4db1f1fd099ae","这里....是在哪里？？",""
"content_439aca74cc11489bb18a72ab16658327","现在我们在一间小屋避难，刚才我们都从飞机上甩下来了...",""
"content_1572b92c0f9245ac851abeaa14faf9ab","那我的爸妈现在在哪里！？他们还在飞机上！！",""
"content_eb52ac4952bf43be9ebab9d2c4e0053a","(在飞机上的话，恐怕他的父母已经....)",""
"content_ba75bb5cb7904ea69ffc33c375b70376","(该怎么和小男孩说呢？)",""
"content_17564c4fcb8c4a02b3385a8c0ea0a20f","你对一个小孩说些什么啊！",""
"option_73749d7d4e6c4999859ab25883418b16","你的父母可能已经不在了...",""
"option_02aac5ff33994327ba1febc740d731fe","可能也像我们一样在哪个地方",""
"content_e0a572fbe61447948628ed945deb49f1","(！！你对一个小孩说些什么啊！)",""
"content_7ca11a4d93e24e34915974a6d8cf7c82",".....不可能！！",""
"content_188e2c7e6da341f2981839ae19e076d3","我爸妈肯定还活着！现在我就要去找他们！！",""
"content_2bd88789b6504b00b870adfe03aab51a","赶快出去找他！！外面还在下暴风雪啊！",""
"option_54914ee4c9ee4de093d44f427fbded2e","你的爸妈已经不在了...",""
"content_bad2cf619d104527a3a86a2975091c61","既然我们都能活下来，相信在飞机上的人也会没事的。",""
"content_0ac20dc993994cfc8b47b2e00a4ef8a1","...真的！？我要去见我爸妈！！",""
"content_790b813c9f3449bd834f0c9bb48e0d38","我们会去找你爸妈的，但现在暂时还不行。",""
"content_fc00ff1a7fc341409bd2ed36c14fc017","现在外面还在下暴风雪视野很差，如果我们出去找人根本找不到。",""
"content_19cf1a96a5a7454d800f2d9adca880f2","等雪变小了再去找你爸妈，好吗？",""
"content_bbb5bc8b18ee4e4494210d8ceba54c42","...好吧， 不过别骗我哦！",""
"content_6463b4de5ba04413a4d999cb404db6cd","嗯嗯，骗人是小狗，我们拉勾约定好吗？",""
"content_0998ee1c82fd4bf18073f90b4a86c028","好！拉勾上吊一百年不许变！",""
"content_8fc6bf93e552405593c44e583750e721","好啦，总之我们先不出去...那么我们先各自认识下吧。",""
"content_176b269b9af24915b87d4ab6560da17e","(肚子响起的声音)",""
"content_c7642cc7511a440fb20fabcf02d711b6","刚...刚才可不是我这边发出的声音！！",""
"content_aaa2c374660a4c81803f327df6245888","噗嗯！看来第一个难关就是食物了，不过在这里要怎么找食物呢？",""
"content_211f3ebe28b444dda367aaadd6249ee5","我刚才在地下室看到了一些箱子，里面可能有一些吃的。",""
"content_b65d24bfb5d1420f890eb3c88b9a9f3c","真的！？那麻烦你再下去看看吧。 ",""
